image,status,texts,raw_texts,scores,boxes,destination,note
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739802132859-87851865.jpg,ok,20C-06769,,0.893,"[725, 1941, 1071, 2122]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739804442966-904112695.jpg,ocr_empty,,4CZ0946,0.816,"[388, 846, 510, 915]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739804442966-904112695.jpg,All OCR texts are empty. Rejected raw OCR: 4CZ0946
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739812573367-837792556.jpeg,ok,29K-02097,,0.888,"[112, 345, 230, 377]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739826122767-687913112.jpeg,ok,20CD-001.14,,0.874,"[108, 358, 195, 381]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739826138507-925375306.jpeg,ok,20CD-001.14,,0.867,"[116, 353, 214, 380]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739839464460-1630855.jpg,ocr_empty,,,0.940,"[925, 1341, 2284, 1689]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739839464460-1630855.jpg,All OCR texts are empty.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739843773101-30992481.jpg,ok,37H-02657,,0.974,"[547, 2013, 1681, 2595]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739843963588-182227643.jpeg,ok,37K-40653,,0.848,"[120, 341, 223, 396]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739847601208-102047151.jpeg,ok,37HD-87500,,0.889,"[125, 353, 211, 377]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739850105181-277423211.jpg,ocr_empty,,A2642,0.884,"[753, 2406, 1521, 2596]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739850105181-277423211.jpg,All OCR texts are empty. Rejected raw OCR: A2642
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739851278678-170784231.jpeg,ok,30L-36185,,0.888,"[131, 342, 208, 388]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739852381604-52853004.jpeg,ok,36HM-03695,,0.962,"[48, 341, 276, 441]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739852932832-89201050.jpg,ocr_empty,,959,0.845,"[549, 1483, 894, 1577]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739852932832-89201050.jpg,All OCR texts are empty. Rejected raw OCR: 959
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739862072239-334432222.jpg,ok,30L-36185,,0.935,"[725, 1878, 1120, 2118]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739863197606-266832893.jpg,ocr_empty,,,0.967,"[1340, 1697, 2879, 2042]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739863197606-266832893.jpg,All OCR texts are empty.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739866903589-302507926.jpg,ok,29H-34881,,0.921,"[609, 717, 845, 841]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739868142959-187916916.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739868142959-187916916.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739869057061-21564780.jpg,ok,15C-17871,,0.903,"[617, 2251, 1297, 2589]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739870867224-715931342.jpg,ok,89C-14290,,0.925,"[530, 646, 800, 772]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739891809964-963711799.jpeg,ok,37C-26485,,0.936,"[123, 355, 206, 400]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739895999533-333880456.jpeg,ok,29K-02101,,0.867,"[112, 347, 220, 379]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739897698711-521398412.jpeg,ok,29AK-10749,,0.864,"[123, 357, 219, 382]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739903745303-692372150.jpg,ok,29K-0210,,0.877,"[814, 2470, 1497, 2681]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739926348923-912246558.jpg,ok,37A-84120,,0.915,"[675, 1899, 1177, 2128]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739927605690-681340990.jpg,ok,15CT-62684,,0.882,"[852, 2320, 1279, 2570]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739932341911-249102934.jpeg,ok,72A-34993,,0.896,"[133, 334, 207, 394]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739932346049-778185145.jpg,ocr_empty,,0,0.672,"[297, 2172, 1815, 2508]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739932346049-778185145.jpg,All OCR texts are empty. Rejected raw OCR: 0
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739936321224-352597676.jpeg,ok,37M-08750,,0.946,"[118, 355, 229, 385]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739937037608-935291866.jpg,ok,98BC-27791,,0.886,"[1135, 2547, 1738, 2878]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739938556196-472038723.jpeg,ok,37H-03727,,0.977,"[78, 348, 211, 412]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739945655022-798042975.jpeg,ok,36C-21040 | , | 46,0.873 | 0.484,"[118, 343, 199, 397] | [127, 286, 180, 338]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739949004374-308379014.jpg,ok,37A-8125,,0.914,"[1146, 1607, 2185, 1856]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739954736808-244277284.jpeg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739954736808-244277284.jpeg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739955154426-136726596.jpg,ok,98BC-36305,,0.905,"[761, 2210, 1425, 2591]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739955842304-919513001.jpeg,ok,37CD-014.31,,0.895,"[105, 350, 223, 381]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739958737542-617228786.jpg,ocr_empty,,321922,0.844,"[662, 1946, 1140, 2059]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739958737542-617228786.jpg,All OCR texts are empty. Rejected raw OCR: 321922
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739959148127-149381793.jpg,ok,99H-02387,,0.986,"[403, 1471, 1092, 1824]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739962772003-237671752.jpg,ok,29K-04351,,0.946,"[868, 2308, 1436, 2478]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739962871186-614948156.jpg,ok,37TC-15568,,0.903,"[485, 1562, 896, 1680]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739971841405-292161379.jpeg,ok,29CD-005.82,,0.759,"[129, 351, 221, 410]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739975963862-329767371.jpeg,ok,29K-10537,,0.898,"[125, 356, 214, 405]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739978246398-855532410.jpeg,ok,20C-06170,,0.917,"[145, 353, 208, 392]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739980393743-346826864.jpg,ok,29D-20971,,0.926,"[646, 2361, 1472, 2572]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739981888929-316792133.jpg,ok,20D-05960,,0.950,"[573, 1959, 1243, 2139]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739983788444-31125282.jpeg,ok,29K-10749,,0.916,"[104, 346, 221, 379]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739990678254-854366785.jpg,ocr_empty,,2MD07,0.785,"[808, 2485, 1516, 2672]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1739990678254-854366785.jpg,All OCR texts are empty. Rejected raw OCR: 2MD07
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739994521652-673703483.jpg,ok,29CD-043.71,,0.930,"[247, 743, 502, 862]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739995721703-306057877.jpeg,ok,29KT-07495,,0.890,"[117, 348, 221, 380]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1739997486446-617185481.jpeg,ok,29KD-24107,,0.902,"[116, 351, 217, 381]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740008030527-457025986.jpg,ok,29K-10537,,0.929,"[1010, 2318, 1325, 2506]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740008616564-489797165.jpeg,ocr_empty,,88BC7C19771,0.901,"[129, 353, 221, 405]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740008616564-489797165.jpeg,All OCR texts are empty. Rejected raw OCR: 88BC7C19771
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740012737145-809223191.jpeg,ok,37H-09040,,0.980,"[86, 333, 258, 411]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740013219771-545583527.jpeg,ok,37HD-07813,,0.801,"[115, 352, 201, 375]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740014695536-457799462.jpeg,ok,37M-0751,,0.970,"[101, 332, 250, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740014944433-377224875.jpeg,ok,36H-05598,,0.927,"[133, 359, 197, 394]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740015753716-235083007.jpeg,ok,37C-31258,,0.898,"[132, 356, 202, 404]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740016596459-109273551.jpg,ok,37D-1971,,0.948,"[795, 2266, 1328, 2554]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740021968477-213131424.jpg,ocr_empty,,315644,0.933,"[632, 1941, 1188, 2063]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740021968477-213131424.jpg,All OCR texts are empty. Rejected raw OCR: 315644
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740022167005-611964849.jpg,ok,37H-01632,,0.930,"[875, 2279, 1315, 2532]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740022197364-739638721.jpeg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740022197364-739638721.jpeg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740025707539-401121817.jpg,ok,37H-02657,,0.949,"[926, 2405, 1459, 2677]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740027777555-263820137.jpg,ok,37D-33266,,0.880,"[909, 2362, 1509, 2778]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740028074708-707600768.jpeg,ocr_empty,,22ZC7H05999,0.920,"[135, 348, 222, 390]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740028074708-707600768.jpeg,All OCR texts are empty. Rejected raw OCR: 22ZC7H05999
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740033103435-940162371.jpg,ok,29D-5910,,0.970,"[414, 1591, 1041, 1753]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740033524677-148690496.jpg,ok,37MH-02657,,0.899,"[832, 2369, 1406, 2655]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740035328435-379419747.jpg,ok,37ND-26857,,0.884,"[928, 2406, 1610, 2745]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740035511114-795839531.jpeg,ok,36CA-52623,,0.823,"[106, 350, 223, 386]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740036135547-856237341.jpg,ok,29X-04351,,0.886,"[778, 2305, 1321, 2461]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740038814142-820840998.jpg,ok,37H-04588,,0.906,"[848, 2420, 1472, 2745]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740039150477-61157375.jpg,ok,37K-37651,,0.822,"[784, 2352, 1380, 2510]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740040344512-175152129.jpg,ok,37H-02657,,0.864,"[893, 2428, 1549, 2766]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740040620697-272018393.jpeg,ok,37H-05510,,0.897,"[119, 350, 205, 395]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740043430648-184903797.jpeg,ok,37H-05999,,0.911,"[122, 328, 219, 378]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740045909123-356838845.jpg,ok,37H-04506,,0.883,"[667, 1894, 1053, 2101]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740049483353-2898180.jpg,ok,15C-30370,,0.929,"[944, 2414, 1428, 2688]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740051652686-930472905.jpg,ok,20C-06782,,0.924,"[648, 1949, 1104, 2189]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740054773868-951235010.jpg,ocr_empty,,29C9000588,0.937,"[597, 523, 853, 647]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740054773868-951235010.jpg,All OCR texts are empty. Rejected raw OCR: 29C9000588
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740055566693-874752765.jpg,ok,99H-00404,,0.935,"[344, 835, 472, 911]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740056562309-130694490.jpg,ok,98H-03233,,0.882,"[535, 724, 672, 811]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740062144036-46269371.jpg,ok,29DA-33572,,0.919,"[696, 2253, 1511, 2474]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740063274172-297480621.jpeg,ocr_empty,,74085,0.943,"[91, 349, 225, 387]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740063274172-297480621.jpeg,All OCR texts are empty. Rejected raw OCR: 74085
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740066998102-739464479.jpg,ok,29A-02399,,0.981,"[325, 2177, 1846, 2544]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740069198169-948856739.jpg,no_plate_detected,,,,,D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740069198169-948856739.jpg,Pipeline returned no plate result.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740070237853-832442285.jpeg,ok,29D-2097,,0.951,"[33, 346, 307, 399]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740072407526-709478013.jpeg,ocr_empty,,290240,0.951,"[18, 346, 288, 401]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740072407526-709478013.jpeg,All OCR texts are empty. Rejected raw OCR: 290240
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740099319723-912694094.jpg,ocr_empty,,373972,0.865,"[681, 2322, 1502, 2569]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740099319723-912694094.jpg,All OCR texts are empty. Rejected raw OCR: 373972
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740104497157-394572557.jpg,ocr_empty,,A,0.890,"[658, 2328, 1374, 2545]",D:\dhtx\xulyanh\dhtx-xulyanh1\input-not-detect-2\f-1740104497157-394572557.jpg,All OCR texts are empty. Rejected raw OCR: A
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740104997985-955332942.jpeg,ok,90C-13016,,0.925,"[108, 351, 219, 412]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740105467449-566932034.jpg,ok,37HD-45888,,0.614,"[1133, 2469, 1333, 2589]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740105486299-860779979.jpeg,ok,37H-0458,,0.924,"[136, 343, 210, 384]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740110092705-153062372.jpeg,ok,37CC-20788,,0.897,"[126, 354, 209, 401]",,At least one OCR text has a valid Vietnamese plate format.
D:\dhtx\xulyanh\dhtx-xulyanh1\input\f-1740111030559-455357277.jpeg,ok,37H-03941,,0.942,"[115, 347, 237, 406]",,At least one OCR text has a valid Vietnamese plate format.
